rep,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
3,200,0.15,Intercept,-0.19021673704628125,0.3206211442025495,-0.82203562375,0.4458100774999999
3,200,0.15,groupembodied,0.2920517842766058,0.24029958862026907,-0.17803178674999998,0.77624484125
3,200,0.15,pre_score_z,0.3243589360162875,0.09687200481502502,0.13578676750000002,0.5172698172499999
3,200,0.4,Intercept,0.3259113341237131,0.4859538367288063,-0.6427678440000001,1.2967037799999992
3,200,0.4,groupembodied,0.17104909459072612,0.23389370066304432,-0.29418753124999997,0.6315029392499998
3,200,0.4,pre_score_z,0.30191677060364625,0.10435371767036444,0.097707021775,0.5083018724999999
3,200,0.87,Intercept,-0.28411022534470326,0.5023784949507958,-1.322870045,0.698118935499999
3,200,0.87,groupembodied,1.04861954534025,0.20016071566189403,0.65783245675,1.4547785475
3,200,0.87,pre_score_z,0.37497559245975,0.09356839754973781,0.19406973775000003,0.5607498402499999
3,200,1.39,Intercept,-0.01755066303127412,0.4403016658389826,-0.9039163072499999,0.8540563722499994
3,200,1.39,groupembodied,1.6816147575275,0.29066111973510267,1.1014709125,2.2615869875
3,200,1.39,pre_score_z,0.36425923544237876,0.12000779395518155,0.13432408575,0.6033747929999996
4,100,0.15,Intercept,0.17428411167623903,0.5335940932646246,-0.8803473642499999,1.2394490275
4,100,0.15,groupembodied,-0.229883129503995,0.2743919504343443,-0.7788429217499999,0.31152179049999984
4,100,0.15,pre_score_z,0.1523511110913032,0.1323765869975111,-0.10698108699999999,0.4101170935
4,100,0.4,Intercept,-0.94504787789509,0.472548171807613,-1.888271015,-0.0020205358750000654
4,100,0.4,groupembodied,0.7617860913599959,0.3411539241399328,0.052481948850000015,1.4122025124999997
4,100,0.4,pre_score_z,0.16767160367943476,0.11742854752665816,-0.06360849682499999,0.39886713249999994
4,100,0.87,Intercept,-0.20431628507042263,0.44760900652149793,-1.1041640449999999,0.6519376489999997
4,100,0.87,groupembodied,0.6962305944889388,0.2603242448384398,0.19191099299999997,1.2162434824999997
4,100,0.87,pre_score_z,0.602738266085,0.1297782651111479,0.35038176975,0.8560122822499999
4,100,1.39,Intercept,0.3414374491850225,0.5424784300800198,-0.7493423665,1.4287472099999998
4,100,1.39,groupembodied,1.2464610008349999,0.32190177681702276,0.59933230325,1.87594742
4,100,1.39,pre_score_z,0.2378805467278896,0.15836777824277057,-0.06542251164999999,0.5562528734999994
4,150,0.15,Intercept,-0.14114539112190874,0.6682232286646576,-1.498117955,1.1862693949999996
4,150,0.15,groupembodied,0.021671698741479624,0.2517466613068856,-0.4873032515,0.50018921725
4,150,0.15,pre_score_z,0.24938860718231137,0.11907407082312325,0.014635536300000009,0.485505042
4,150,0.4,Intercept,0.2500514870544913,0.5661936511652897,-0.9162114459999999,1.3290787875
4,150,0.4,groupembodied,0.3442039195143161,0.25407205439446084,-0.16309261625,0.8463789902499999
4,150,0.4,pre_score_z,0.3129676493787375,0.106169366129851,0.1071415955,0.5275472534999998
4,150,0.87,Intercept,0.17214784384246623,0.4938227939820796,-0.8719318044999999,1.1475607124999985
4,150,0.87,groupembodied,1.1064847164051874,0.30881526551035615,0.4967938135,1.7168283299999998
4,150,0.87,pre_score_z,0.2948970103854038,0.12097279875238569,0.058066389875,0.5325807572499999
4,150,1.39,Intercept,-0.2850411370532033,0.4290758936221718,-1.1599608700000001,0.5581703307499999
4,150,1.39,groupembodied,1.4548035490075,0.23868084161479056,0.976354076,1.913580605
4,150,1.39,pre_score_z,0.26700366676655124,0.09694060809579325,0.07768511327500001,0.45697161999999986
4,200,0.15,Intercept,0.2797173522427175,0.47770847468735717,-0.6856670874999999,1.2153046650000001
4,200,0.15,groupembodied,-0.1122115263417915,0.18060561849374243,-0.46739045674999996,0.24689287574999985
4,200,0.15,pre_score_z,0.218196962225575,0.08513593997261398,0.053999896600000014,0.38301165449999997
4,200,0.4,Intercept,-0.6251926613083388,0.48860027695221525,-1.61568473,0.36087845249999906
4,200,0.4,groupembodied,0.4153825311914175,0.21410032497691486,-3.1730739824998655e-4,0.8511879869999999
4,200,0.4,pre_score_z,0.366502841791875,0.08762785574185152,0.19393043999999998,0.5379230075
4,200,0.87,Intercept,0.4457928888294198,0.558221515912993,-0.6818187309999999,1.5437410749999996
4,200,0.87,groupembodied,0.57188154121867,0.22893109545154083,0.12798192725000002,1.021944335
4,200,0.87,pre_score_z,0.3096886201895875,0.09477058570389807,0.128876037,0.49989492224999993
4,200,1.39,Intercept,-0.05241523622837877,0.39925408158762293,-0.8717451515000001,0.7302423629999999
4,200,1.39,groupembodied,1.36722176679125,0.20957874803713647,0.95529726075,1.7844677725
4,200,1.39,pre_score_z,0.3511840214705125,0.10132850634735101,0.15615215924999998,0.5553042174999999
5,100,0.15,Intercept,-0.5592288377342811,0.52222637266923,-1.59339872,0.4884541659999999
