pid,item_id,group,pre_score_z,correct
P115,1,control,-0.12372209717721992,0
P115,26,control,-0.12372209717721992,1
P115,25,control,-0.12372209717721992,0
P115,19,control,-0.12372209717721992,0
P116,22,embodied,-0.12372209717721992,1
P116,23,embodied,-0.12372209717721992,1
P116,28,embodied,-0.12372209717721992,0
P116,17,embodied,-0.12372209717721992,1
P116,1,embodied,-0.12372209717721992,0
P116,26,embodied,-0.12372209717721992,0
P116,25,embodied,-0.12372209717721992,1
P116,19,embodied,-0.12372209717721992,1
P114,22,embodied,0.8454927452989061,1
P114,23,embodied,0.8454927452989061,1
P114,28,embodied,0.8454927452989061,1
P114,17,embodied,0.8454927452989061,1
P114,1,embodied,0.8454927452989061,1
P114,26,embodied,0.8454927452989061,1
P114,25,embodied,0.8454927452989061,1
P114,19,embodied,0.8454927452989061,1
P117,22,control,-1.092936939653346,1
P117,23,control,-1.092936939653346,1
P117,28,control,-1.092936939653346,0
P117,17,control,-1.092936939653346,0
P117,1,control,-1.092936939653346,1
P117,26,control,-1.092936939653346,0
P117,25,control,-1.092936939653346,1
P117,19,control,-1.092936939653346,1
P120,22,control,-0.6083295184152829,0
P120,23,control,-0.6083295184152829,1
P120,28,control,-0.6083295184152829,1
P120,17,control,-0.6083295184152829,0
P120,1,control,-0.6083295184152829,1
P120,26,control,-0.6083295184152829,0
P120,25,control,-0.6083295184152829,0
P120,19,control,-0.6083295184152829,0
P122,22,embodied,-0.6083295184152829,1
P122,23,embodied,-0.6083295184152829,1
P122,28,embodied,-0.6083295184152829,1
P122,17,embodied,-0.6083295184152829,0
P122,1,embodied,-0.6083295184152829,0
P122,26,embodied,-0.6083295184152829,1
P122,25,embodied,-0.6083295184152829,1
P122,19,embodied,-0.6083295184152829,0
P124,22,control,-0.12372209717721992,0
P124,23,control,-0.12372209717721992,1
P124,28,control,-0.12372209717721992,0
P124,17,control,-0.12372209717721992,0
P124,1,control,-0.12372209717721992,1
P124,26,control,-0.12372209717721992,0
P124,25,control,-0.12372209717721992,1
P124,19,control,-0.12372209717721992,1
P125,22,control,0.36088532406084306,1
P125,23,control,0.36088532406084306,1
P125,28,control,0.36088532406084306,1
P125,17,control,0.36088532406084306,1
P125,1,control,0.36088532406084306,1
P125,26,control,0.36088532406084306,1
P125,25,control,0.36088532406084306,1
P125,19,control,0.36088532406084306,1
P127,22,embodied,-0.6083295184152829,0
P127,23,embodied,-0.6083295184152829,0
P127,28,embodied,-0.6083295184152829,0
P127,17,embodied,-0.6083295184152829,0
P127,1,embodied,-0.6083295184152829,0
P127,26,embodied,-0.6083295184152829,0
P127,25,embodied,-0.6083295184152829,0
P127,19,embodied,-0.6083295184152829,0
P129,22,control,-0.12372209717721992,1
P129,23,control,-0.12372209717721992,0
P129,28,control,-0.12372209717721992,0
P129,17,control,-0.12372209717721992,0
P129,1,control,-0.12372209717721992,1
P129,26,control,-0.12372209717721992,0
P129,25,control,-0.12372209717721992,0
P129,19,control,-0.12372209717721992,0
P131,22,embodied,-0.6083295184152829,0
P131,23,embodied,-0.6083295184152829,1
P131,28,embodied,-0.6083295184152829,0
P131,17,embodied,-0.6083295184152829,0
P131,1,embodied,-0.6083295184152829,0
P131,26,embodied,-0.6083295184152829,0
P131,25,embodied,-0.6083295184152829,0
P131,19,embodied,-0.6083295184152829,0
P132,22,control,-0.6083295184152829,0
P132,23,control,-0.6083295184152829,1
P132,28,control,-0.6083295184152829,0
P132,17,control,-0.6083295184152829,0
P132,1,control,-0.6083295184152829,0
P132,26,control,-0.6083295184152829,1
P132,25,control,-0.6083295184152829,1
P132,19,control,-0.6083295184152829,0
P133,22,embodied,0.8454927452989061,1
P133,23,embodied,0.8454927452989061,1
P133,28,embodied,0.8454927452989061,0
P133,17,embodied,0.8454927452989061,0
P133,1,embodied,0.8454927452989061,1
P133,26,embodied,0.8454927452989061,0
P133,25,embodied,0.8454927452989061,0
P133,19,embodied,0.8454927452989061,1
P126,22,embodied,-0.12372209717721992,1
P126,23,embodied,-0.12372209717721992,1
P126,28,embodied,-0.12372209717721992,0
P126,17,embodied,-0.12372209717721992,1
P126,1,embodied,-0.12372209717721992,0
P126,26,embodied,-0.12372209717721992,1
P126,25,embodied,-0.12372209717721992,0
P126,19,embodied,-0.12372209717721992,1
